iteration,1,2,3,4,5
838,1304,2061,5,23735,1204
839,1309,2069,7,23725,1215
840,1302,2094,7,23712,1222
841,1311,2124,8,23694,1235
842,1329,2147,5,23634,1234
843,1330,2169,5,23614,1227
844,1337,2190,5,23574,1225
845,1326,2191,5,23541,1227
846,1327,2201,5,23520,1227
847,1343,2219,5,23493,1240
848,1333,2238,5,23480,1232
849,1353,2240,4,23441,1244
850,1349,2243,4,23415,1248
851,1354,2272,4,23347,1252
852,1350,2292,4,23295,1262
853,1359,2308,7,23253,1264
854,1373,2310,6,23226,1258
855,1381,2319,9,23177,1275
856,1395,2311,8,23122,1266
857,1413,2315,9,23069,1274
858,1413,2322,9,22990,1280
859,1411,2326,9,22934,1289
860,1427,2332,8,22863,1295
861,1415,2327,8,22779,1293
862,1417,2348,9,22704,1278
863,1417,2342,8,22597,1283
864,1410,2339,9,22480,1285
865,1416,2347,9,22353,1285
866,1424,2343,9,22245,1280
867,1405,2335,8,22137,1263
